"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"csy3","","CRISPR-associated protein Csy3","34","2","30","142","53.125","98.61111111111111","80.46666666666667","5.560189154393596e-19","3.574701209251187e-14","3.574701209251187e-14","30","29","2","5.774199962615969e-08","8.679926395416261e-07"
"cas3","","CRISPR-associated nuclease/helicase Cas3 subtype I-F/YPEST","30","3","34","141","46.875","97.91666666666666","41.470588235294116","3.2728611225255905e-15","2.1041551442829273e-10","1.0520775721414637e-10","27","26","3","4.1723251342773453e-07","4.923343658447265e-05"
"cas6f","","CRISPR-associated endonuclease Cas6/Csy4","28","3","36","141","43.75","97.91666666666666","36.55555555555556","6.687022159382852e-14","4.299153416488829e-09","1.4330511388296098e-09","25","25","3","5.960464477539063e-08","0.00015652179718017584"
"group_3864","cas1","CRISPR-associated endonuclease Cas1","29","4","35","140","45.3125","97.22222222222221","29.0","9.988880004823312e-14","6.421950843900955e-09","1.6054877109752388e-09","27","25","4","5.647540092468263e-06","0.00031074881553649897"
"csy1","","CRISPR-associated protein Csy2","26","2","38","142","40.625","98.61111111111111","48.578947368421055","1.6046624395429483e-13","1.0316535290065569e-08","2.063307058013114e-09","25","24","2","1.5497207641601558e-06","1.943111419677734e-05"
"casD","","hypothetical protein","20","0","44","144","31.25","100.0","inf","5.3367264796652486e-12","3.431034821041585e-07","4.901478315773693e-08","16","16","0","3.0517578125e-05","3.0517578125e-05"
"casC","","CRISPR system Cascade subunit CasC","20","0","44","144","31.25","100.0","inf","5.3367264796652486e-12","3.431034821041585e-07","4.901478315773693e-08","16","16","0","3.0517578125e-05","3.0517578125e-05"
"casE","","CRISPR system Cascade subunit CasE","19","0","45","144","29.6875","100.0","inf","2.2414251214593655e-11","1.4410346248374406e-06","1.8012932810468007e-07","16","16","0","3.0517578125e-05","3.0517578125e-05"
"ygcB","","CRISPR-associated endonuclease/helicase Cas3","19","1","45","143","29.6875","99.30555555555556","60.37777777777778","3.4688722117824134e-10","2.2301726336770313e-05","2.2301726336770313e-06","16","16","1","3.0517578125e-05","0.000518798828125"
"ygbT","","CRISPR-associated endonuclease Cas1","19","1","45","143","29.6875","99.30555555555556","60.37777777777778","3.4688722117824134e-10","2.2301726336770313e-05","2.2301726336770313e-06","16","16","1","3.0517578125e-05","0.000518798828125"
"ygbF","","CRISPR-associated endoribonuclease Cas2","17","1","47","143","26.5625","99.30555555555556","51.723404255319146","5.198302359625016e-09","0.0003342040570026519","3.0382187000241082e-05","14","14","1","0.0001220703125","0.0018310546875000002"
"casA","","hypothetical protein","13","0","51","144","20.3125","100.0","inf","8.793725298735264e-08","0.005653573931809888","0.00047113116098415733","11","11","0","0.0009765625","0.0009765625"
"group_1333","","hypothetical protein","24","110","40","34","37.5","23.61111111111111","0.18545454545454546","1.2571970507763182e-07","0.008082645559146028","0.000621741966088156","23","11","16","0.09313964843749999","0.9999999999999998"
"group_3733","codB","Cytosine permease","0","37","64","107","0.0","74.30555555555556","0.0","2.7785341051740044e-07","0.01786347361557419","0.0012759624011124421","6","0","6","0.03125","0.03125"
"group_3545","","hypothetical protein","0","36","64","108","0.0","75.0","0.0","5.113568685875574e-07","0.032875644438362654","0.002191709629224177","2","0","2","0.5","0.5"
"hpf_2","","hypothetical protein","2","46","62","98","3.125","68.05555555555556","0.06872370266479663","7.289266358674427e-07","0.04686342234655376","0.00292896389665961","5","2","5","0.0625","1.0"
"group_3891","","hypothetical protein","0","35","64","109","0.0","75.69444444444444","0.0","1.0142667112498432e-06","0.06520822113296366","0.0035958301635082824","2","0","2","0.5","0.5"
"ves","","Protein Ves","16","89","48","55","25.0","38.19444444444444","0.20599250936329588","1.078926257476925e-06","0.06936524801944899","0.0035958301635082824","19","11","14","0.06356811523437494","0.6476058959960938"
"group_4341","","hypothetical protein","0","34","64","110","0.0","76.38888888888889","0.0","1.102507909593742e-06","0.07088133601569127","0.0035958301635082824","2","0","2","0.5","0.5"
"group_3739","","hypothetical protein","1","40","63","104","1.5625","72.22222222222221","0.04126984126984127","1.1186107428748294e-06","0.07191660327016565","0.0035958301635082824","2","1","2","0.5","1.0"
"group_5982","","hypothetical protein","11","0","53","144","17.1875","100.0","inf","1.232014953682166e-06","0.07920747338718014","0.003600339699417279","5","5","0","0.0625","0.0625"
"group_6979","","hypothetical protein","11","0","53","144","17.1875","100.0","inf","1.232014953682166e-06","0.07920747338718014","0.003600339699417279","9","9","0","0.00390625","0.00390625"
"group_2397","","hypothetical protein","2","45","62","99","3.125","68.75","0.07096774193548387","1.366595263838043e-06","0.08785977610741162","0.0036790912926829553","3","2","3","0.25","1.0"
"group_2105","","hypothetical protein","11","75","53","69","17.1875","47.91666666666667","0.1909433962264151","1.670926662545684e-06","0.10742554606172457","0.0036790912926829553","11","6","8","0.22656250000000003","0.9999999999999997"
"group_2429","","hypothetical protein","8","66","56","78","12.5","54.166666666666664","0.16883116883116883","1.8013294000694878e-06","0.11580926845986744","0.0036790912926829553","16","7","13","0.021270751953125","0.8036193847656252"
"group_3567","","IS3 family transposase ISPa31","21","9","43","135","32.8125","93.75","7.325581395348837","1.8345303655457072e-06","0.11794379173129907","0.0036790912926829553","19","14","8","0.06356811523437494","0.6476058959960938"
"group_1318","","hypothetical protein","19","95","45","49","29.6875","34.02777777777778","0.21777777777777776","2.007273508686863e-06","0.12904962114698712","0.0036790912926829553","28","15","20","0.035698138177394874","0.8505540192127226"
"group_3381","","hypothetical protein","1","39","63","105","1.5625","72.91666666666666","0.042735042735042736","2.026568949786799e-06","0.1302901443507431","0.0036790912926829553","9","1","8","0.0390625","0.0390625"
"group_3659","","hypothetical protein","1","39","63","105","1.5625","72.91666666666666","0.042735042735042736","2.026568949786799e-06","0.1302901443507431","0.0036790912926829553","2","1","2","0.5","1.0"
"group_2055","","hypothetical protein","5","55","59","89","7.8125","61.80555555555556","0.13713405238828968","2.5569473825564153e-06","0.1643887041719345","0.0036790912926829553","11","3","9","0.06542968749999997","0.22656250000000003"
"group_2798","","hypothetical protein","5","55","59","89","7.8125","61.80555555555556","0.13713405238828968","2.5569473825564153e-06","0.1643887041719345","0.0036790912926829553","9","3","7","0.17968750000000003","0.5078125"
"kaiC","","Circadian clock protein kinase KaiC","2","44","62","100","3.125","69.44444444444444","0.07331378299120235","2.7434553862007373e-06","0.1763794902342316","0.0036790912926829553","7","2","6","0.125","0.4531249999999996"
"group_3341","","hypothetical protein","2","44","62","100","3.125","69.44444444444444","0.07331378299120235","2.7434553862007373e-06","0.1763794902342316","0.0036790912926829553","4","2","4","0.125","1.0"
"group_3345","","hypothetical protein","2","44","62","100","3.125","69.44444444444444","0.07331378299120235","2.7434553862007373e-06","0.1763794902342316","0.0036790912926829553","7","2","6","0.125","0.4531249999999996"
"group_1236","","hypothetical protein","2","43","62","101","3.125","70.13888888888889","0.07576894223555888","2.788252702900663e-06","0.17925955452218653","0.0036790912926829553","4","2","3","0.625","1.0"
"group_3181","","hypothetical protein","3","47","61","97","4.6875","67.36111111111111","0.10149982560167423","3.0916331651395674e-06","0.19876418781998792","0.0036790912926829553","8","3","6","0.2890624999999999","0.7265625000000002"
"group_2711","","hypothetical protein","6","58","58","86","9.375","59.72222222222222","0.15338882282996433","3.5753742522396196e-06","0.2298643860507374","0.0036790912926829553","8","3","8","0.0078125","0.7265625000000002"
"group_4541","","hypothetical protein","0","32","64","112","0.0","77.77777777777779","0.0","3.841605098807707e-06","0.2469806334074463","0.0036790912926829553","2","0","2","0.5","0.5"
"group_3506","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3661","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3667","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3734","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3755","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"quiP_1","","Acyl-homoserine lactone acylase QuiP","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","2","1","2","0.5","1.0"
"group_3818","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3840","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"ycgR","","Flagellar brake protein YcgR","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3906","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_3967","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","7","1","6","0.125","0.125"
"group_4005","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4006","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
"group_4011","","hypothetical protein","1","38","63","106","1.5625","73.61111111111111","0.04427736006683375","3.9211469204638196e-06","0.2520944566635394","0.0036790912926829553","1","1","1","1.0","1.0"
