"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"pdhD","","Dihydrolipoyl dehydrogenase","33","17","146","12","18.435754189944134","41.37931034482759","0.15954875100725222","1.553410969328512e-05","0.9987034462909936","0.9987034462909936","14","7","9","0.4239501953124999","1.0"
"ymdB","","O-acetyl-ADP-ribose deacetylase","60","1","119","28","33.5195530726257","96.55172413793103","14.117647058823529","0.0003478441797062464","1.0","1.0","15","14","1","0.0009765624999999998","0.0009765624999999998"
"group_8061","","hypothetical protein","4","6","175","23","2.2346368715083798","79.3103448275862","0.08761904761904762","0.0006317277290391675","1.0","1.0","1","1","1","1.0","1.0"
"group_9271","","hypothetical protein","2","5","177","24","1.1173184357541899","82.75862068965517","0.05423728813559322","0.0006555847232522078","1.0","1.0","2","1","2","0.5","1.0"
"group_6354","","hypothetical protein","7","7","172","22","3.910614525139665","75.86206896551724","0.12790697674418605","0.0008721469739299763","1.0","1.0","4","3","2","0.625","1.0"
"group_6859","","hypothetical protein","7","7","172","22","3.910614525139665","75.86206896551724","0.12790697674418605","0.0008721469739299763","1.0","1.0","3","1","2","1.0","1.0"
"group_5218","cpoB_1","hypothetical protein","10","8","169","21","5.58659217877095","72.41379310344827","0.15532544378698224","0.0009164244848392046","1.0","1.0","9","5","5","1.0","1.0"
"ydjF","","hypothetical protein","66","2","113","27","36.87150837988827","93.10344827586206","7.884955752212389","0.0010318146224703754","1.0","1.0","18","17","2","0.00014495849609375","0.0013122558593750002"
"group_2672","","hypothetical protein","66","2","113","27","36.87150837988827","93.10344827586206","7.884955752212389","0.0010318146224703754","1.0","1.0","18","17","2","0.00014495849609375","0.0013122558593750002"
"group_10421","","hypothetical protein","1","4","178","25","0.5586592178770949","86.20689655172413","0.0351123595505618","0.0014138262456300178","1.0","1.0","2","1","2","0.5","1.0"
"group_11509","","hypothetical protein","1","4","178","25","0.5586592178770949","86.20689655172413","0.0351123595505618","0.0014138262456300178","1.0","1.0","4","1","3","0.625","0.625"
"group_11511","","hypothetical protein","1","4","178","25","0.5586592178770949","86.20689655172413","0.0351123595505618","0.0014138262456300178","1.0","1.0","4","1","4","0.125","0.625"
"group_10160","","hypothetical protein","3","5","176","24","1.675977653631285","82.75862068965517","0.08181818181818182","0.0015756509729349364","1.0","1.0","3","1","2","1.0","1.0"
"group_8583","","hypothetical protein","3","5","176","24","1.675977653631285","82.75862068965517","0.08181818181818182","0.0015756509729349364","1.0","1.0","6","3","3","1.0","1.0"
"group_8616","","hypothetical protein","3","5","176","24","1.675977653631285","82.75862068965517","0.08181818181818182","0.0015756509729349364","1.0","1.0","5","2","3","1.0","1.0"
"pilY1","","hypothetical protein","80","4","99","25","44.6927374301676","86.20689655172413","5.05050505050505","0.0018034820476849987","1.0","1.0","12","8","4","0.3876953125000001","0.3876953125000001"
"mgtC","","hypothetical protein","85","23","94","6","47.486033519553075","20.689655172413794","0.23589269195189638","0.00219947794130319","1.0","1.0","15","5","11","0.11846923828124997","0.30175781250000017"
"group_6595","","hypothetical protein","6","6","173","23","3.35195530726257","79.3103448275862","0.1329479768786127","0.0022593318012274297","1.0","1.0","3","3","1","0.25","1.0"
"group_6867","","hypothetical protein","6","6","173","23","3.35195530726257","79.3103448275862","0.1329479768786127","0.0022593318012274297","1.0","1.0","7","4","4","0.9999999999999998","0.9999999999999998"
"group_6902","","hypothetical protein","6","6","173","23","3.35195530726257","79.3103448275862","0.1329479768786127","0.0022593318012274297","1.0","1.0","6","3","3","1.0","1.0"
"group_7066","","hypothetical protein","6","6","173","23","3.35195530726257","79.3103448275862","0.1329479768786127","0.0022593318012274297","1.0","1.0","6","3","3","1.0","1.0"
"group_7209","","hypothetical protein","6","6","173","23","3.35195530726257","79.3103448275862","0.1329479768786127","0.0022593318012274297","1.0","1.0","3","2","2","1.0","1.0"
"group_5939","","hypothetical protein","9","7","170","22","5.027932960893855","75.86206896551724","0.16638655462184873","0.002367293192726687","1.0","1.0","3","1","2","1.0","1.0"
"group_12451","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","2","0","2","0.5","0.5"
"group_14047","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","3","0","3","0.25","0.25"
"group_14260","","hypothetical protein","0","3","179","26","0.0","89.65517241379311","0.0","0.0024718316719165266","1.0","1.0","3","0","3","0.25","0.25"
